Date,Price
2024-02-01,579.74
2024-02-02,583.97
2024-02-05,612.04
2024-02-06,616.42
2024-02-07,615.47
2024-02-08,608.11
2024-02-09,602.14
2024-02-12,597.51
2024-02-13,597.11
2024-02-14,604.72
2024-02-15,607.36
2024-02-16,617.71
2024-02-19,610.25
2024-02-20,609.95
2024-02-21,607.76
2024-02-22,613.03
2024-02-23,612.93
2024-02-26,612.54
2024-02-27,630.5
2024-02-28,629.06
2024-02-29,629.26
2024-03-01,647.27
2024-03-02,658.25
2024-03-04,657.17
2024-03-05,675.34
2024-03-06,675.49
2024-03-07,686.09
2024-03-11,681.01
2024-03-12,672.85
2024-03-13,639.91
2024-03-14,638.66
2024-03-15,621.09
2024-03-18,640.5
2024-03-19,627.66
2024-03-20,615.47
2024-03-21,634.73
2024-03-22,646.08
2024-03-26,648.52
2024-03-27,644.68
2024-03-28,654.09
2024-04-01,656.18
2024-04-02,662.05
2024-04-03,665.18
2024-04-04,668.22
2024-04-05,665.18
2024-04-08,667.28
2024-04-09,664.54
2024-04-10,667.77
2024-04-12,667.92
2024-04-15,658.86
2024-04-16,654.78
2024-04-18,636.72
2024-04-19,634.23
2024-04-22,643.04
2024-04-23,658.27
2024-04-24,661.35
2024-04-25,669.32
2024-04-26,669.52
2024-04-29,672.25
2024-04-30,679.02
2024-05-02,689.77
2024-05-03,681.16
2024-05-06,680.36
2024-05-07,659.06
2024-05-08,677.78
2024-05-09,689.32
2024-05-10,703.16
2024-05-13,642.54
2024-05-14,643.29
2024-05-15,634.28
2024-05-16,625.08
2024-05-17,633.73
2024-05-18,641.55
2024-05-21,639.06
2024-05-22,635.43
2024-05-23,645.18
2024-05-24,644.38
2024-05-27,639.91
2024-05-28,631.5
2024-05-29,628.91
2024-05-30,617.61
2024-05-31,615.52
2024-06-03,632.64