Date,Scheme,Units,,
 16-Apr-2020,SBI PENSION FUND SCHEME E - TIER I Units,37.10,,
 04-Jul-2020,SBI PENSION FUND SCHEME E - TIER I Units,34.60,,
 20-Jul-2020,SBI PENSION FUND SCHEME E - TIER I Units,0.00,,
 20-Jul-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,3026.73,,
 23-Jul-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,3092.88,,
 03-Oct-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,3090.63,,
 23-Oct-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,3055.85,,
 01-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,3263.85,,
 05-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,5112.12,,
 09-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,5110.49,,
 01-Feb-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,5315.72,,
 01-Mar-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,5515.05,,
 05-Apr-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,5715.44,,
 10-Apr-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,5713.33,,
 03-May-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,5914.36,,
 01-Jun-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6103.86,,
 02-Jul-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6289.79,,
 03-Jul-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6288.02,,
 02-Aug-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6472.30,,
 01-Sep-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6645.12,,
 04-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6813.04,,
 09-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6811.44,,
 25-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6105.53,,
 01-Nov-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6262.00,,
 01-Dec-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6425.01,,
 03-Jan-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6583.59,,
 08-Jan-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6582.16,,
 01-Feb-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6741.04,,
 02-Mar-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,6909.43,,
 04-Apr-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7065.42,,
 09-Apr-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7064.15,,
 02-May-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7228.05,,
 01-Jun-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7396.01,,
 01-Jul-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7570.81,,
 09-Jul-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7569.47,,
 01-Aug-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7728.69,,
 01-Sep-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7885.71,,
 03-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,8048.40,,
 08-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,8047.13,,
 25-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7617.09,,
 01-Nov-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7760.29,,
 01-Dec-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,7899.42,,
 02-Jan-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,8043.27,,
 07-Jan-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,8041.94,,
 01-Feb-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,8190.00,,
 01-Mar-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,8338.57,,
 03-Apr-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,8487.29,,
 06-Apr-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,8486.12,,
 02-May-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,8629.16,,
 31-May-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units,0.00,,
 31-May-2023,LIC PENSION FUND SCHEME E - TIER I Units,5480.07,,
 02-Jun-2023,LIC PENSION FUND SCHEME E - TIER I Units,5567.82,,
 03-Jul-2023,LIC PENSION FUND SCHEME E - TIER I Units,5652.10,,
 14-Jul-2023,LIC PENSION FUND SCHEME E - TIER I Units,5651.32,,
 01-Aug-2023,LIC PENSION FUND SCHEME E - TIER I Units,5733.20,,
 01-Sep-2023,LIC PENSION FUND SCHEME E - TIER I Units,5815.56,,
 03-Oct-2023,LIC PENSION FUND SCHEME E - TIER I Units,5897.28,,
 07-Oct-2023,LIC PENSION FUND SCHEME E - TIER I Units,5896.61,,
 23-Oct-2023,LIC PENSION FUND SCHEME E - TIER I Units,5436.65,,
 01-Nov-2023,LIC PENSION FUND SCHEME E - TIER I Units,5515.74,,
 01-Dec-2023,LIC PENSION FUND SCHEME E - TIER I Units,5589.65,,
 26-Dec-2023,LIC PENSION FUND SCHEME E - TIER I Units,5589.65,,
 28-Dec-2023,LIC PENSION FUND SCHEME E - TIER I Units,6457.95,,
 01-Jan-2024,LIC PENSION FUND SCHEME E - TIER I Units,6539.89,,
 06-Jan-2024,LIC PENSION FUND SCHEME E - TIER I Units,6539.05,,
 01-Feb-2024,LIC PENSION FUND SCHEME E - TIER I Units,6620.56,,
 01-Mar-2024,LIC PENSION FUND SCHEME E - TIER I Units,6699.17,,
 02-Apr-2024,LIC PENSION FUND SCHEME E - TIER I Units,6776.91,,
 06-Apr-2024,LIC PENSION FUND SCHEME E - TIER I Units,6776.28,,
 02-May-2024,LIC PENSION FUND SCHEME E - TIER I Units,6852.69,,
 03-Jun-2024,LIC PENSION FUND SCHEME E - TIER I Units,6925.97,,
 01-Jul-2024,LIC PENSION FUND SCHEME E - TIER I Units,6996.95,,
 06-Jul-2024,LIC PENSION FUND SCHEME E - TIER I Units,6996.37,,
 01-Aug-2024,LIC PENSION FUND SCHEME E - TIER I Units,7065.11,,
 02-Sep-2024,LIC PENSION FUND SCHEME E - TIER I Units,7133.30,,
 01-Oct-2024,LIC PENSION FUND SCHEME E - TIER I Units,7200.16,,
 05-Oct-2024,LIC PENSION FUND SCHEME E - TIER I Units,7199.57,,
 04-Nov-2024,LIC PENSION FUND SCHEME E - TIER I Units,7271.43,,
 02-Dec-2024,LIC PENSION FUND SCHEME E - TIER I Units,0.00,,
 02-Dec-2024,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,43.59,,
 04-Dec-2024,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,4405.99,,
 01-Jan-2025,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,4450.48,,
 11-Jan-2025,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,4450.08,,
 03-Feb-2025,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,4496.60,,
 03-Mar-2025,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,4546.06,,
 02-Apr-2025,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,4592.59,,
 05-Apr-2025,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,4592.22,,
 02-May-2025,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,4637.08,,
 02-Jun-2025,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units,4681.00,,
 16-Apr-2020,SBI PENSION FUND SCHEME C - TIER I Units,3.40,,
 04-Jul-2020,SBI PENSION FUND SCHEME C - TIER I Units,3.17,,
 20-Jul-2020,SBI PENSION FUND SCHEME C - TIER I Units,0.00,,
 20-Jul-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,348.57,,
 23-Jul-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,356.31,,
 03-Oct-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,356.05,,
 23-Oct-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,366.50,,
 01-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,395.25,,
 05-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,653.49,,
 09-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,653.28,,
 01-Feb-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,682.18,,
 01-Mar-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,711.35,,
 05-Apr-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,740.06,,
 10-Apr-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,739.79,,
 03-May-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,768.19,,
 01-Jun-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,796.38,,
 02-Jul-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,824.53,,
 03-Jul-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,824.30,,
 02-Aug-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,852.31,,
 01-Sep-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,880.06,,
 04-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,907.61,,
 09-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,907.39,,
 25-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1188.16,,
 01-Nov-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1218.47,,
 01-Dec-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1248.56,,
 03-Jan-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1278.57,,
 08-Jan-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1278.29,,
 01-Feb-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1308.50,,
 02-Mar-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1338.37,,
 04-Apr-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1368.09,,
 09-Apr-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1367.84,,
 02-May-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1397.77,,
 01-Jun-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1428.12,,
 01-Jul-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1458.35,,
 09-Jul-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1458.10,,
 01-Aug-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1487.94,,
 01-Sep-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1517.48,,
 03-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1547.19,,
 08-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1546.95,,
 25-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1670.40,,
 01-Nov-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1702.67,,
 01-Dec-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1734.53,,
 02-Jan-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1766.27,,
 07-Jan-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1765.98,,
 01-Feb-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1797.55,,
 01-Mar-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1829.09,,
 03-Apr-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1860.38,,
 06-Apr-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1860.12,,
 02-May-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,1890.95,,
 31-May-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units,0.00,,
 31-May-2023,LIC PENSION FUND SCHEME C - TIER I Units,1306.81,,
 02-Jun-2023,LIC PENSION FUND SCHEME C - TIER I Units,1327.75,,
 03-Jul-2023,LIC PENSION FUND SCHEME C - TIER I Units,1348.69,,
 14-Jul-2023,LIC PENSION FUND SCHEME C - TIER I Units,1348.50,,
 01-Aug-2023,LIC PENSION FUND SCHEME C - TIER I Units,1369.33,,
 01-Sep-2023,LIC PENSION FUND SCHEME C - TIER I Units,1390.07,,
 03-Oct-2023,LIC PENSION FUND SCHEME C - TIER I Units,1410.70,,
 07-Oct-2023,LIC PENSION FUND SCHEME C - TIER I Units,1410.54,,
 23-Oct-2023,LIC PENSION FUND SCHEME C - TIER I Units,1575.96,,
 01-Nov-2023,LIC PENSION FUND SCHEME C - TIER I Units,1598.29,,
 01-Dec-2023,LIC PENSION FUND SCHEME C - TIER I Units,1620.50,,
 26-Dec-2023,LIC PENSION FUND SCHEME C - TIER I Units,1315.12,,
 28-Dec-2023,LIC PENSION FUND SCHEME C - TIER I Units,1315.12,,
 01-Jan-2024,LIC PENSION FUND SCHEME C - TIER I Units,1332.06,,
 06-Jan-2024,LIC PENSION FUND SCHEME C - TIER I Units,1331.89,,
 01-Feb-2024,LIC PENSION FUND SCHEME C - TIER I Units,1348.67,,
 01-Mar-2024,LIC PENSION FUND SCHEME C - TIER I Units,1365.34,,
 02-Apr-2024,LIC PENSION FUND SCHEME C - TIER I Units,1381.86,,
 06-Apr-2024,LIC PENSION FUND SCHEME C - TIER I Units,1381.73,,
 02-May-2024,LIC PENSION FUND SCHEME C - TIER I Units,1398.21,,
 03-Jun-2024,LIC PENSION FUND SCHEME C - TIER I Units,1414.54,,
 01-Jul-2024,LIC PENSION FUND SCHEME C - TIER I Units,1430.79,,
 06-Jul-2024,LIC PENSION FUND SCHEME C - TIER I Units,1430.67,,
 01-Aug-2024,LIC PENSION FUND SCHEME C - TIER I Units,1446.77,,
 02-Sep-2024,LIC PENSION FUND SCHEME C - TIER I Units,1462.74,,
 01-Oct-2024,LIC PENSION FUND SCHEME C - TIER I Units,1478.55,,
 05-Oct-2024,LIC PENSION FUND SCHEME C - TIER I Units,1478.43,,
 04-Nov-2024,LIC PENSION FUND SCHEME C - TIER I Units,1494.12,,
 02-Dec-2024,LIC PENSION FUND SCHEME C - TIER I Units,0.00,,
 02-Dec-2024,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,15.16,,
 04-Dec-2024,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1545.20,,
 01-Jan-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1560.29,,
 11-Jan-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1560.15,,
 03-Feb-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1575.14,,
 03-Mar-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1590.12,,
 02-Apr-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1604.79,,
 05-Apr-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1604.66,,
 02-May-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1619.18,,
 02-Jun-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1633.51,,
 16-Apr-2020,SBI PENSION FUND SCHEME G - TIER I Units,5.32,,
 04-Jul-2020,SBI PENSION FUND SCHEME G - TIER I Units,4.96,,
 20-Jul-2020,SBI PENSION FUND SCHEME G - TIER I Units,0.00,,
 20-Jul-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,528.36,,
 23-Jul-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,540.07,,
 03-Oct-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,539.67,,
 23-Oct-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,560.89,,
 01-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,604.69,,
 05-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,997.50,,
 09-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,997.18,,
 01-Feb-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1041.49,,
 01-Mar-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1086.48,,
 05-Apr-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1130.82,,
 10-Apr-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1130.40,,
 03-May-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1174.40,,
 01-Jun-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1218.27,,
 02-Jul-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1262.23,,
 03-Jul-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1261.88,,
 02-Aug-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1305.63,,
 01-Sep-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1348.85,,
 04-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1391.78,,
 09-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1391.45,,
 25-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2021.19,,
 01-Nov-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2072.78,,
 01-Dec-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2123.78,,
 03-Jan-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2174.88,,
 08-Jan-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2174.41,,
 01-Feb-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2226.35,,
 02-Mar-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2277.65,,
 04-Apr-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2328.96,,
 09-Apr-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2328.54,,
 02-May-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2380.10,,
 01-Jun-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2432.31,,
 01-Jul-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2484.18,,
 09-Jul-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2483.74,,
 01-Aug-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2534.91,,
 01-Sep-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2585.38,,
 03-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2636.31,,
 08-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2635.89,,
 25-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3057.64,,
 01-Nov-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3116.56,,
 01-Dec-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3174.43,,
 02-Jan-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3232.32,,
 07-Jan-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3231.78,,
 01-Feb-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3289.15,,
 01-Mar-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3346.54,,
 03-Apr-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3403.11,,
 06-Apr-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3402.64,,
 02-May-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3458.26,,
 31-May-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,0.00,,
 31-May-2023,LIC PENSION FUND SCHEME G - TIER I Units,2123.91,,
 02-Jun-2023,LIC PENSION FUND SCHEME G - TIER I Units,2157.97,,
 03-Jul-2023,LIC PENSION FUND SCHEME G - TIER I Units,2192.18,,
 14-Jul-2023,LIC PENSION FUND SCHEME G - TIER I Units,2191.88,,
 01-Aug-2023,LIC PENSION FUND SCHEME G - TIER I Units,2225.95,,
 01-Sep-2023,LIC PENSION FUND SCHEME G - TIER I Units,2259.80,,
 03-Oct-2023,LIC PENSION FUND SCHEME G - TIER I Units,2293.66,,
 07-Oct-2023,LIC PENSION FUND SCHEME G - TIER I Units,2293.40,,
 23-Oct-2023,LIC PENSION FUND SCHEME G - TIER I Units,2738.60,,
 01-Nov-2023,LIC PENSION FUND SCHEME G - TIER I Units,2777.43,,
 01-Dec-2023,LIC PENSION FUND SCHEME G - TIER I Units,2815.96,,
 26-Dec-2023,LIC PENSION FUND SCHEME G - TIER I Units,1841.09,,
 28-Dec-2023,LIC PENSION FUND SCHEME G - TIER I Units,1841.09,,
 01-Jan-2024,LIC PENSION FUND SCHEME G - TIER I Units,1864.86,,
 06-Jan-2024,LIC PENSION FUND SCHEME G - TIER I Units,1864.62,,
 01-Feb-2024,LIC PENSION FUND SCHEME G - TIER I Units,1887.89,,
 01-Mar-2024,LIC PENSION FUND SCHEME G - TIER I Units,1910.95,,
 02-Apr-2024,LIC PENSION FUND SCHEME G - TIER I Units,1933.92,,
 06-Apr-2024,LIC PENSION FUND SCHEME G - TIER I Units,1933.74,,
 02-May-2024,LIC PENSION FUND SCHEME G - TIER I Units,1956.74,,
 03-Jun-2024,LIC PENSION FUND SCHEME G - TIER I Units,1979.30,,
 01-Jul-2024,LIC PENSION FUND SCHEME G - TIER I Units,2001.71,,
 06-Jul-2024,LIC PENSION FUND SCHEME G - TIER I Units,2001.54,,
 01-Aug-2024,LIC PENSION FUND SCHEME G - TIER I Units,2023.74,,
 02-Sep-2024,LIC PENSION FUND SCHEME G - TIER I Units,2045.69,,
 01-Oct-2024,LIC PENSION FUND SCHEME G - TIER I Units,2067.25,,
 05-Oct-2024,LIC PENSION FUND SCHEME G - TIER I Units,2067.08,,
 04-Nov-2024,LIC PENSION FUND SCHEME G - TIER I Units,2088.67,,
 02-Dec-2024,LIC PENSION FUND SCHEME G - TIER I Units,2088.67,,
 02-Dec-2024,LIC PENSION FUND SCHEME G - TIER I Units,2110.13,,
 04-Dec-2024,LIC PENSION FUND SCHEME G - TIER I Units,2190.73,,
 01-Jan-2025,LIC PENSION FUND SCHEME G - TIER I Units,2212.16,,
 11-Jan-2025,LIC PENSION FUND SCHEME G - TIER I Units,2211.96,,
 03-Feb-2025,LIC PENSION FUND SCHEME G - TIER I Units,2233.21,,
 03-Mar-2025,LIC PENSION FUND SCHEME G - TIER I Units,2254.50,,
 02-Apr-2025,LIC PENSION FUND SCHEME G - TIER I Units,2275.13,,
 05-Apr-2025,LIC PENSION FUND SCHEME G - TIER I Units,2274.94,,
 02-May-2025,LIC PENSION FUND SCHEME G - TIER I Units,2295.25,,
 02-Jun-2025,LIC PENSION FUND SCHEME G - TIER I Units,2315.45,,